206,252,ENKELZIJDIG,Karel De Preterlei (2140),222,2140,3
207,253,ENKELZIJDIG,Vosstraat (2140),19,2140,3
208,254,DUBBELZIJDIG,Boekenberglei (2100),189,2100,4
209,255,ENKELZIJDIG,Van den Hautelei (2100),90,2100,4
210,256,ENKELZIJDIG,Helderstraat (2600),59,2600,2
211,257,ENKELZIJDIG,Hofstadestraat (2600),null,2600,2
212,258,ENKELZIJDIG,Lodewijk Van Berckenlaan (2140),127,2600,2
213,259,DUBBELZIJDIG,Posthofbrug (2600),null,2600,2
214,260,ENKELZIJDIG,Hof ter Schriecklaan (2600),1,2600,2
215,261,DUBBELZIJDIG,Henri Prostlaan (2600),5,2600,2
216,262,DUBBELZIJDIG,Rooi (2600),null,2600,2
217,263,ENKELZIJDIG,Fruithoflaan (2600),85,2600,2
218,264,DUBBELZIJDIG,Filip Williotstraat (2600),11,2600,2
219,265,DUBBELZIJDIG,Pulhoflaan (2600),null,2600,2
220,266,ENKELZIJDIG,Fruithoflaan (2600),3-5,2600,2
221,267,DUBBELZIJDIG,Prins Leopoldlaan (2600),36,2600,2
222,268,ENKELZIJDIG,Lindendreef (2020),null,2020,1
223,269,DUBBELZIJDIG,Troyentenhoflaan (2600),120-122,2600,2
224,270,ENKELZIJDIG,Eglantierlaan (2610),1,2020,1
225,271,DUBBELZIJDIG,Beukenlaan (2020),24,2020,1
226,272,ENKELZIJDIG,Groenenborgerlaan (2020),199,2020,1
227,273,ENKELZIJDIG,Oosterveldlaan (2610),8,2610,7
228,274,DUBBELZIJDIG,Bist (2610),null,2610,7
229,275,DUBBELZIJDIG,Groenenborgerlaan (2610),17,2610,7
230,276,DUBBELZIJDIG,Kruishofstraat (2610),140,2610,7
231,277,ENKELZIJDIG,Ahornenlaan (2020),1,2610,7
232,278,DUBBELZIJDIG,Oversneslaan (2610),54,2610,7
233,279,DUBBELZIJDIG,Doornstraat (2610),2,2610,7
234,280,DUBBELZIJDIG,Bosheidelaan (2610),null,2610,7
235,281,DUBBELZIJDIG,Hof Van Tichelen (2020),30,2020,1
236,282,DUBBELZIJDIG,Letterkundestraat (2610),59-63,2610,7
237,283,DUBBELZIJDIG,Hollebeekstraat (2660),25-27,2660,5
238,284,DUBBELZIJDIG,Steynstraat (2660),297-299,2660,5
239,286,ENKELZIJDIG,Berkenrodelei (2660),150,2660,5
240,287,DUBBELZIJDIG,Berkenrodelei (2660),2,2660,5
241,288,DUBBELZIJDIG,Draaiboomstraat (2660),44,2660,5
242,289,DUBBELZIJDIG,Walstraat (2660),5-7,2660,5
243,290,DUBBELZIJDIG,Sint-Bernardsesteenweg (2660),886,2660,5
244,291,DUBBELZIJDIG,Maurits Sabbelaan (2020),16-18,2020,1
245,292,DUBBELZIJDIG,Jacob le Mairestraat (2020),8,2020,1
246,293,ENKELZIJDIG,Pol de Montstraat (2020),10,2020,1
247,294,ENKELZIJDIG,Valerius De Saedeleerstraat (2020),2,2020,1
248,295,ENKELZIJDIG,Emiel Vloorsstraat (2660),null,2020,1
249,296,DUBBELZIJDIG,Eric Sasselaan (2020),69,2020,1
250,297,DUBBELZIJDIG,Jan De Voslei (2020),null,2020,1
251,298,ENKELZIJDIG,Valkstraat (2610),null,2610,7
252,299,ENKELZIJDIG,Camille Huysmanslaan (2020),null,2020,1
253,300,DUBBELZIJDIG,Vogelzanglaan (2020),null,2020,1
254,301,DUBBELZIJDIG,Luchthavenlei (2100),1,2100,4
255,302,DUBBELZIJDIG,Rozenkransplein (2610),11,2610,7
256,285,ENKELZIJDIG,Commandant Weynsstraat (2660),null,2660,5
257,221,ENKELZIJDIG,Mexicostraat (2030),thv 37,2030,1
258,303,ENKELZIJDIG,Kambalastraat (2030),2,2030,1
259,304,DUBBELZIJDIG,Campiniastraat (2170),50,2170,6
260,156,DUBBELZIJDIG,Van Kerckhovenstraat (2060),74,2060,1
261,161,DUBBELZIJDIG,Lange Leemstraat (2018),null,2018,1
262,305,DUBBELZIJDIG,Ter Nieuwerbrugge (2600),3,2600,2
263,307,DUBBELZIJDIG,Baron Sadoinestraat (2660),26,2660,5
264,308,ENKELZIJDIG,Majoor Maelfaitplein (2660),15,2660,5
265,309,DUBBELZIJDIG,Paul Henri Spaaklaan (2660),2,2660,5
266,310,DUBBELZIJDIG,Krijgsbaan (2660),20,2660,5
267,311,ENKELZIJDIG,Cockerillplaats (2660),12-14,2660,5
268,312,ENKELZIJDIG,Graspolderlaan (2660),15-21,2660,5
269,314,DUBBELZIJDIG,Sint Bernaardsestwg,847,2660,5
270,320,ENKELZIJDIG,Den Brem (2610),91,2610,7
271,163,DUBBELZIJDIG,Galgenweellaan (2050),70,2050,1
272,317,ENKELZIJDIG,Ganzemate (2170),null,2170,6
273,316,DUBBELZIJDIG,Dokter Emiel Van Dammestraat (2660),28,2660,5
274,322,ENKELZIJDIG,Malisgoed (2610),7,2610,7
275,321,DUBBELZIJDIG,Monnikenplein (2610),1,2610,7
276,162,DUBBELZIJDIG,Blancefloerlaan (2050),7272,2050,1
277,325,DUBBELZIJDIG,Paul Vekemanslaan (2660),18,2660,5
278,326,DUBBELZIJDIG,Krugerbrug (2660),null,2660,5
279,327,DUBBELZIJDIG,Ridderveld (2610),7,2610,7
280,328,DUBBELZIJDIG,Schotensesteenweg (2100),5,2100,4
281,323,ENKELZIJDIG,Oosterveldlaan (2610),24,2610,7
282,324,DUBBELZIJDIG,Dordrechtlaan,2,2100,4
283,329,ENKELZIJDIG,Prosper de Witstraat,5,2100,4
284,330,ENKELZIJDIG,Meerlenhoflaan (2660),32,2660,5
285,331,DUBBELZIJDIG,Zaatlaan (2660),6,2660,5
286,332,DUBBELZIJDIG,Michel Geysemansstraat (2610),10,2610,7
287,333,ENKELZIJDIG,Frans Adriaenssensstraat (2170),123,2170,6
288,335,ENKELZIJDIG,Speelpleinstraat (2170),null,2170,6
289,340,DUBBELZIJDIG,Dokter Donnyplein (2610),1,2610,7
290,334,ENKELZIJDIG,August Van de Wielelei (2100),136,2100,4
291,336,DUBBELZIJDIG,Sneeuwbeslaan (2610),null,2610,7
292,337,ENKELZIJDIG,Verenigde Natieslaan (2660),168,2660,5
293,313,ONTBREKEND,Eksterlaar (2100),null,2100,4
294,319,DUBBELZIJDIG,Schaliemolenstraat (2610),2,2610,7
295,341,DUBBELZIJDIG,Kempenstraat (2030),null,2030,1
296,342,DUBBELZIJDIG,Jos Smolderenstraat (2000),null,2000,1
297,164,DUBBELZIJDIG,Ellermanstraat (2060),null,2060,1
298,167,DUBBELZIJDIG,Italiëlei (2000),null,2000,1
299,166,ENKELZIJDIG,Schoenmarkt (2000),null,2000,1
300,171,ENKELZIJDIG,Koningin Astridplein (2018),null,2018,1
301,172,ENKELZIJDIG,Koningin Astridplein (2018),null,2018,1
